Sample_Index,Moi,NDF,Starch
400,67.81867863,43.35,23.97
512,66.22,48.60999999999999,25.42
321,71.43139214,59.83,3.770000000000001
20,63.0755814,38.07,35.83
173,66.02852804,39.46999999999999,30.74
641,70.29897196261683,44.77,24.84
313,47.37869742,39.38,35.67
391,69.06479042,38.41,27.08
731,66.81972111553785,48.48,11.61
13,66.96450909,35.36,36.94
408,72.12943925,43.02,23.71
409,58.26,39.38,34.8
306,60.0407155,38.34,34.79
355,69.96568793,37.37,32.07
26,62.35388309,30.34,43.29
588,65.60479020979021,37.78,35.67
170,61.40842784,35.46,39.55
39,50.23679688,42.52,34.46
176,62.6787126,36.55,23.6
246,62.831525420000006,43.26,31.670000000000005
299,56.05638368,37.2,36.31
655,60.06515852613538,48.830000000000005,25.790000000000003
417,65.24,44.080000000000005,28.68
539,68.87536912751678,52.96,1.49
273,66.70885764,38.64,34.73
602,79.7950134529148,55.4,0.25
155,57.8951049,39.7,38.1
127,63.73533851,32.62,45.92
450,56.03,38.79,32.63
717,58.73247563352826,39.61,27.11
342,68.71706294,40.78,31.58
431,62.94,42.22,34.1
288,61.84457808,32.02,42.52
114,65.92665134,32.01,40.51
502,67.8,49.26,26.56
174,51.49701438999999,34.02,41.6
360,63.08222222,36.27,36.06
775,73.58051555555555,41.24,26.97
58,59.06635551000001,35.64,38.65
543,67.66,41.3,22.350000000000005
223,63.34697769,35.06,39.72
281,60.69943636000001,38.51,35.51
18,67.3331546,41.21999999999999,31.33
128,67.59969199,35.75,38.59
323,66.09975833,41.66,34.91
256,54.85967742,30.26,43.96
529,73.49002702702703,45.41,9.41
589,81.17973788721207,53.04999999999999,1.92
469,65.79,44.9,31.74
754,51.97855648535565,39.44,36.33
191,66.39422067,34.07,38.64
116,60.60852405000001,33.08,42.58
696,67.6016555661275,41.56,28.3
646,71.68674846625767,57.06,2.46
95,57.69637462000001,34.51,39.7
181,67.99567901,47.44,16.3
302,68.02996951,40.88,35.15
572,62.24759450171822,38.74,38.54
581,64.32367253251721,36.78,38.1
552,58.23135864978903,32.13,43.20000000000001
549,61.15134719014628,34.87,40.59
695,67.6016555661275,41.56,28.3
533,73.61799557848195,46.66,9.63
6,63.66309808,43.11,30.37
770,65.30669733210672,40.44,34.45
46,63.83705440999999,36.35,38.26
711,63.03254969749352,41.07,31.97
158,63.36440497,38.59,29.829999999999995
596,75.26118240146654,55.02,0.25
172,55.17924528000001,34.22,40.27
17,61.26946535,35.74,38.24
49,67.96879699,40.66,31.47
760,58.7271880819367,38.13,35.7
720,63.54687999999999,47.23,10.45
4,65.41959407,39.32,32.91
568,62.24759450171822,38.74,38.54
555,64.74174058577407,43.22,32.05
317,63.74230769,34.7,38.01
553,64.74174058577407,43.22,32.05
481,74.52,55.580000000000005,19.12
448,66.88,45.03,29.34
724,63.54687999999999,47.23,10.45
284,62.84050485,35.79,37.96
97,42.87694725,30.94,48.88
286,67.81640183,45.55,30.8
527,73.49002702702703,45.41,9.41
226,65.50543624,41.53,33.58
27,65.08717949,39.51,30.55
632,63.38966634890372,45.580000000000005,17.74
264,67.28311688,39.35,31.65
438,60.64000000000001,48.41,26.51
365,66.23875117,31.8,40.51
230,64.32630126,38.61,31.809999999999995
38,47.77003567,38.17,35.73
755,55.24551724137931,37.48,36.8
375,69.30377246,41.27,27.51
470,71.86,50.830000000000005,21.87
757,55.24551724137931,37.48,36.8
669,64.56752761257434,39.43,32.35
583,69.70787216828478,41.8,32.12
195,59.253317800000005,34.64,40.58
671,58.57606498194946,41.57,30.06
680,76.17940608760208,43.78,24.24
504,67.8,49.26,26.56
759,55.24551724137931,37.48,36.8
656,60.06515852613538,48.830000000000005,25.790000000000003
758,55.24551724137931,37.48,36.8
163,58.90854184999999,34.61,40.99
605,65.46744518589134,42.36,31.03
153,64.33107143,39.52,32.06
548,61.15134719014628,34.87,40.59
743,76.4531551270815,53.14,15.919999999999998
603,79.7950134529148,55.4,0.25
112,66.05339512,38.68,34.85
227,62.31979729999999,35.49,39.58
652,62.6903596491228,35.81,37.93
104,63.51642202000001,42.69,26.84
422,59.07,40.24,30.5
420,59.07,40.24,30.5
120,65.71227405,38.18,35.42
54,46.48929071,27.75,43.58
152,63.21523982,37.96,36.34
404,70.60643797,42.0,26.84
739,77.24931318681318,45.34,15.49
208,66.2121888,38.94,27.59
768,58.21580041580042,42.93,29.77
609,67.02021589793915,40.3,31.46
9,57.14072993,41.86,32.24
639,70.29897196261683,44.77,24.84
37,62.21558295999999,44.54,26.43
453,56.03,38.79,32.63
254,62.21414843,30.610000000000003,42.54
304,59.3359633,34.28,41.04
597,75.26118240146654,55.02,0.25
570,62.24759450171822,38.74,38.54
636,69.55271946564886,43.53,18.12
263,56.13760917,37.13,35.32
298,71.40265722,47.59,26.46
415,65.24,44.080000000000005,28.68
151,63.14527751000001,33.78,38.22
626,61.02060669456066,44.51,18.93
