Sample ID,Moi
Fermented_#_519377,68.51711704
Fermented_#_519382,66.31173132
Fermented_#_519383,70.80601101
Fermented_#_520078,59.60945289
Fermented_#_522654,51.947842230000006
Fermented_#_522655,57.470960760000004
Fermented_#_522656,53.5869441
Fermented_#_522657,47.5622449
Fermented_#_523889,61.67689366
Fermented_#_539157,48.99972893999999
Fermented_#_539158,58.988880599999995
Fermented_#_539159,69.40313099
Fermented_#_539160,58.23162287
Fermented_#_539161,67.02898722
Fermented_#_539163,76.92990395
Fermented_#_542087,68.71706294
Fermented_#_542088,67.18118812
Fermented_#_542090,52.75122914
Fermented_#_542092,64.82720348
Fermented_#_542094,59.93355649
Fermented_#_542096,47.6224
Fermented_#_542098,68.97466192
Fermented_#_542100,68.08263757
Fermented_#_542101,68.26666667
Fermented_#_542104,67.82578797
Fermented_#_542105,64.37210773
Fermented_#_542133,57.3000266
Fermented_#_542138,68.90900302
Fermented_#_542417,69.96568793
Fermented_#_542420,67.55998195
Fermented_#_542424,62.23520468
Fermented_#_544042,62.54014733
Fermented_#_544064,65.64304933
Fermented_#_544065,63.08222222
Fermented_#_544068,63.83093636
Fermented_#_544073,64.22805139
Fermented_#_544220,77.04833043
Fermented_#_544245,65.00104887
Fermented_#_544287,66.23875117
Fermented_#_544300,67.82663256
Fermented_#_544306,57.033455599999996
Fermented_#_544325,65.09044068
Fermented_#_544332,64.59335128
Fermented_#_544336,64.52355511
Fermented_#_544339,64.15967836
Fermented_#_544347,63.74522106999999
Fermented_#_544349,59.071840439999995
Fermented_#_544399,51.27297747
Fermented_#_544401,69.30377246
Fermented_#_544405,60.06736709
Fermented_#_544406,63.14863635999999
Fermented_#_544422,66.2039529
Fermented_#_544423,64.93685115
Fermented_#_544434,63.77659979
Fermented_#_544447,51.69915414
Fermented_#_544453,70.48450569
Fermented_#_544499,66.36165775
Fermented_#_544518,64.75192982
Fermented_#_544519,62.71267606
Fermented_#_545468,62.03149954
Fermented_#_545470,54.61191547000001
Fermented_#_545471,63.293531
Fermented_#_545473,58.39494371
Fermented_#_545681,58.87334353
Fermented_#_548490,69.06479042
Fermented_#_548492,61.02316879
Fermented_#_548493,65.70552239
Fermented_#_548495,61.61394247
Fermented_#_548497,63.00744715
Fermented_#_548499,68.01049558
Fermented_#_548501,62.48291667
Fermented_#_548505,60.79737778
Fermented_#_548506,56.10797872
Fermented_#_548508,67.81867863
Fermented_#_548510,71.75355811
Fermented_#_555616,69.95520958
Fermented_#_555617,70.59428571
Fermented_#_555618,70.60643797
Fermented_#_555619,65.71843066
Fermented_#_555620,67.1776616
Fermented_#_557035,57.91646812
Fermented_#_557036,72.12943925
Fresh_#_701100_1,58.26
Fresh_#_701100_2,58.26
Fresh_#_701100_3,58.26
Fresh_#_701100_4,58.26
Fresh_#_701100_5,58.26
Fresh_#_701101_1,65.24
Fresh_#_701101_2,65.24
Fresh_#_701101_3,65.24
Fresh_#_701101_4,65.24
Fresh_#_701101_5,65.24
Fresh_#_701102_1,59.07
Fresh_#_701102_2,59.07
Fresh_#_701102_3,59.07
Fresh_#_701102_4,59.07
Fresh_#_701102_5,59.07
Fresh_#_701103_1,62.43
Fresh_#_701103_2,62.43
Fresh_#_701103_3,62.43
Fresh_#_701103_4,62.43
Fresh_#_701103_5,62.43
Fresh_#_701104_1,62.94
Fresh_#_701104_2,62.94
Fresh_#_701104_3,62.94
Fresh_#_701104_4,62.94
Fresh_#_701104_5,62.94
Fresh_#_701105_1,60.64000000000001
Fresh_#_701105_2,60.64000000000001
Fresh_#_701105_3,60.64000000000001
Fresh_#_701105_4,60.64000000000001
Fresh_#_701105_5,60.64000000000001
Fresh_#_701106_1,60.88
Fresh_#_701106_2,60.88
Fresh_#_701106_3,60.88
Fresh_#_701106_4,60.88
Fresh_#_701106_5,60.88
Fresh_#_701107,61.28
Fresh_#_701108_1,66.88
Fresh_#_701108_2,66.88
Fresh_#_701108_3,66.88
Fresh_#_701108_4,66.88
Fresh_#_701108_5,66.88
Fresh_#_701109_1,56.03
Fresh_#_701109_2,56.03
Fresh_#_701109_3,56.03
Fresh_#_701109_4,56.03
Fresh_#_701109_5,56.03
Fresh_#_701110_1,62.82
Fresh_#_701110_2,62.82
Fresh_#_701110_3,62.82
Fresh_#_701110_4,62.82
Fresh_#_701110_5,62.82
Fresh_#_701111_1,73.94
Fresh_#_701111_2,73.94
Fresh_#_701111_3,73.94
Fresh_#_701111_4,73.94
Fresh_#_701111_5,73.94
Fresh_#_701112_1,65.79
Fresh_#_701112_2,65.79
Fresh_#_701112_3,65.79
Fresh_#_701112_4,65.79
Fresh_#_701112_5,65.79
Fresh_#_701113_1,71.86
Fresh_#_701113_2,71.86
Fresh_#_701113_3,71.86
Fresh_#_701113_4,71.86
Fresh_#_701113_5,71.86
Fresh_#_701114_1,73.15
Fresh_#_701114_2,73.15
Fresh_#_701114_3,73.15
Fresh_#_701114_4,73.15
Fresh_#_701114_5,73.15
Fresh_#_701115_1,74.52
Fresh_#_701115_2,74.52
Fresh_#_701115_3,74.52
Fresh_#_701115_4,74.52
Fresh_#_701115_5,74.52
Fresh_#_701116_1,72.06
Fresh_#_701116_2,72.06
Fresh_#_701116_3,72.06
Fresh_#_701116_4,72.06
Fresh_#_701116_5,72.06
Fresh_#_701117_1,69.16
Fresh_#_701117_2,69.16
Fresh_#_701117_3,69.16
Fresh_#_701117_4,69.16
Fresh_#_701117_5,69.16
Fresh_#_701118_1,60.53
Fresh_#_701118_2,60.53
Fresh_#_701118_3,60.53
Fresh_#_701118_4,60.53
Fresh_#_701118_5,60.53
Fresh_#_701119_1,67.8
Fresh_#_701119_2,67.8
Fresh_#_701119_3,67.8
Fresh_#_701119_4,67.8
Fresh_#_701119_5,67.8
Fresh_#_701121_1,69.3
Fresh_#_701121_2,69.3
Fresh_#_701121_3,69.3
Fresh_#_701121_4,69.3
Fresh_#_701121_5,69.3
Fresh_#_703520_1,66.22
Fresh_#_703520_2,66.22
Fresh_#_703520_3,66.22
Fresh_#_703520_4,66.22
Fresh_#_703520_5,66.22
Fresh_#_728584_1,78.34002591
Fresh_#_728584_2,78.34002591
Fresh_#_728584_3,78.34002591
Fresh_#_728584_4,78.34002591
Fresh_#_728584_5,78.34002591
Fresh_#_728585_1,83.05967936
Fresh_#_728585_2,83.05967936
Fresh_#_728585_3,83.05967936
Fresh_#_728585_4,83.05967936
Fresh_#_728585_5,83.05967936
Fresh_#_728827_1,73.49002703
Fresh_#_728827_2,73.49002703
Fresh_#_728827_3,73.49002703
Fresh_#_728827_4,73.49002703
Fresh_#_728827_5,73.49002703
Fresh_#_729664,75.11131034
Fresh_#_729665_1,73.61799558
Fresh_#_729665_2,73.61799558
Fresh_#_729665_3,73.61799558
Fresh_#_729665_4,73.61799558
Fresh_#_729665_5,73.61799558
Fresh_#_729666_1,68.87536913
Fresh_#_729666_2,68.87536913
Fresh_#_729666_3,68.87536913
Fresh_#_729666_4,68.87536913
Fresh_#_729666_5,68.87536913
Fresh_#_729667_1,67.66
Fresh_#_729667_2,67.66
Fresh_#_729667_3,67.66
Fresh_#_729667_4,67.66
Fresh_#_729667_5,67.66
Fresh_#_731838_1,61.15134719
Fresh_#_731838_2,61.15134719
Fresh_#_731838_3,61.15134719
Fresh_#_731838_4,61.15134719
Fresh_#_731838_5,61.15134719
Fresh_#_731839,65.36699922
Fresh_#_731840,58.23135865
Fresh_#_731841_1,64.74174059
Fresh_#_731841_2,64.74174059
Fresh_#_731841_3,64.74174059
Fresh_#_731841_4,64.74174059
Fresh_#_731841_5,64.74174059
