id,Moi,NDF,Starch
356,58.35955098,30.44,41.76
357,65.11665293,38.62,33.41
358,65.46744519,42.36,31.03
359,50.06,35.17,40.17
360,76.17940609,43.78,24.24
361,62.35388309,30.34,43.29
362,60.88,38.29,34.49
363,65.21422343,40.54,31.22
364,64.73209068,34.95,34.27
365,75.2611824,55.02,0.25
366,69.55271947,43.53,18.12
367,67.08636285,43.54,29.34
368,61.20151203,29.58,45.27
369,67.77489478,42.13,31.79
370,70.60643797,42,26.84
371,62.55907626,30.53,40.95
372,61.02060669,44.51,18.93
373,67.60165557,41.56,28.3
374,68.87536913,52.96,1.49
375,73.15,51.02,22.39
376,61.70821328,35.95,35.19
377,64.61808824,35.61,36.62
378,67.08636285,43.54,29.34
379,69.23642137,51.9,2.41
380,81.17973789,53.05,1.92
381,69.40313099,41.8,28.17
382,56.03,38.79,32.63
383,66.86796296,39.45,31.56
384,62.6787126,36.55,23.6
385,58.09507853,36.9,35.06
386,64.56752761,39.43,32.35
387,60.91482582,34.98,39.6
388,79.3839982,48.49,12.21
389,67.00103111,40.72,30.69
390,55.07332767,38.03,35.91
391,64.31125,37.92,34.3
392,58.87334353,33.97,40.55
393,66.05339512,38.68,34.85
394,66.02852804,39.47,30.74
395,67.45221649,41.11,30.09
396,62.43,41.34,35.86
397,60.51956731,35.91,40.49
398,65.71843066,41.5,29.6
399,67.60165557,41.56,28.3
400,63.53533014,33.63,36.87
401,61.02316879,44.29,27.29
402,62.54467727,41.45,25.39
403,67.0202159,40.3,31.46
404,63.0325497,41.07,31.97
405,69.89707317,42.04,30.05
406,63.0325497,41.07,31.97
407,65.46744519,42.36,31.03
408,58.73247563,39.61,27.11
409,65.46744519,42.36,31.03
410,60.06736709,34.98,36.62
411,58.72718808,38.13,35.7
412,60.53,37.39,37.92
413,63.64100088,37.02,36.4
414,71.68674847,57.06,2.46
415,62.94,42.22,34.1
416,72.06,50.46,22.13
417,67.50107527,31.86,41.33
418,62.22255794,30.86,42.65
419,76.17940609,43.78,24.24
420,75.2611824,55.02,0.25
421,77.04833043,51.46,10
422,63.34697769,35.06,39.72
423,62.54467727,41.45,25.39
424,67.48554637,41.25,25.44
425,67.81867863,43.35,23.97
426,66.80067039,38.81,33.64
427,68.97466192,39.15,32.56
428,64.11760784,33.78,39.42
429,63.1953125,42.3,25.15
430,70.21742092,35.73,35.41
431,67.82663256,39.75,34.97
432,51.27297747,40.4,30.34
433,66.54540146,44.12,28.4
434,76.45315513,53.14,15.92
435,70.29897196,44.77,24.84
436,73.94,51.65,21.01
437,58.9888806,32.85,37.97
438,60.53,37.39,37.92
439,65.30669733,40.44,34.45
440,69.23642137,51.9,2.41
441,64.45009743,38.51,35.14
