,id,Moi,NDF,Starch
237,502077,66.0959415,34.43,37.44
119,492769,65.71227405,38.18,35.42
474,736554,58.73247563352827,39.61,27.11
462,734459,60.06515852613539,48.83,25.79
321,518530,60.45628366,32.3,41.49
346,542096,47.6224,36.72,35.42
392,548493,65.70552239,43.89,22.03
440,731841,64.74174058577407,43.22,32.05
275,503574,63.05391304,40.79,33.67
374,544401,69.30377246,41.27,27.51
268,502666,55.073327670000005,38.03,35.91
36,488381,62.21558295999999,44.54,26.43
196,501696,58.35955098000001,30.440000000000005,41.76
139,500304,62.55907626,30.53,40.95
356,542424,62.23520468,33.61,37.34
231,502064,65.21667825,35.32,36.25
386,545470,54.61191547000001,35.52,39.33
280,503660,60.69943636000001,38.51,35.51
59,489169,68.0882963,39.96,34.0
111,492506,66.05339512,38.68,34.85
245,502102,62.831525420000006,43.26,31.670000000000005
378,544423,64.93685115,38.39,37.63
6,482009,62.44286099,32.55,37.87
352,542133,57.3000266,40.42,34.82
338,539160,58.23162287,51.580000000000005,25.179999999999996
331,522655,57.470960760000004,41.81,27.339999999999996
158,500585,42.78406397,37.04,39.02
150,500491,63.14527751000001,33.78,38.22
177,501138,58.45177943,35.54,34.56
423,701115,74.52,55.58,19.12
184,501197,67.51041171,42.39,28.3
277,503591,59.37271751000001,39.25,35.41
10,483498,70.13257576,42.57,25.96
472,734719,64.45009743135519,38.51,35.14
103,492240,63.51642202000001,42.69,26.839999999999996
81,491099,67.2610585,38.4,31.79
38,488432,50.23679688,42.52,34.46
477,736557,66.81972111553785,48.48,11.609999999999998
167,500817,73.39957143,46.21,17.46
457,734221,69.55271946564886,43.53,18.12
290,503922,65.53590952,36.49,35.24
287,503885,61.84457808,32.02,42.52
198,501860,41.00051985,35.11,42.7
291,503924,59.87508670999999,29.5,40.61
249,502276,67.49950884,38.28,35.32
266,502653,58.25344173,34.24,39.38
194,501686,59.253317800000005,34.64,40.58
89,491717,77.42827225,49.29999999999999,4.32
146,500415,56.75437647,33.73,44.32
163,500800,57.56042677,34.88,36.56
262,502624,56.13760917,37.13,35.32
147,500419,68.44653226,42.77,25.27
2,480929,63.11571081999999,41.44,33.25
92,491740,54.09001664,34.32,38.52
391,548492,61.02316879,44.29,27.29
69,490512,56.226640350000004,40.4,35.3
281,503677,65.93441361,37.46,32.08
123,500012,61.23895582,31.530000000000005,44.91
360,544068,63.83093636,37.49,32.96
96,491818,42.87694725,30.94,48.88
143,500402,63.13772059,34.19,38.02
239,502082,62.82704483,37.33,34.69
286,503883,67.77489478,42.13,31.790000000000003
97,491824,58.05084042,35.33,37.36
342,542088,67.18118812,39.44,32.98
122,500001,64.69406181,35.04,43.5
183,501187,66.45933047,36.82,37.24
